anime_id,title,type,score,scored_by,status,source,members,favorites,rating,start_year,genres,themes,demographics,main_picture,trailer_url,title_english,watching,completed,on_hold,dropped,plan_to_watch,total
17074,Monogatari Series: Second Season,tv,8.77,330778,finished_airing,light_novel,616225,22486,r,2013,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",['Vampire'],[],https://cdn.myanimelist.net/images/anime/1807/121534l.jpg,https://www.youtube.com/watch?v=YrAdRp69BBY,Monogatari Series: Second Season,39542,412901,19474,7044,150318,629279
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,tv,8.37,542395,finished_airing,light_novel,948527,10883,r,2020,"['Drama', 'Fantasy', 'Suspense']","['Isekai', 'Psychological', 'Time Travel']",[],https://cdn.myanimelist.net/images/anime/1444/108005l.jpg,https://www.youtube.com/watch?v=41Gj4Dri8wo,Re:ZERO -Starting Life in Another World- Season 2,85649,675754,19613,12253,190024,983293
40776,Haikyuu!! To the Top Part 2,tv,8.54,392171,finished_airing,manga,669148,5577,pg_13,2020,['Sports'],"['School', 'Team Sports']",['Shounen'],https://cdn.myanimelist.net/images/anime/1453/106768l.jpg,https://www.youtube.com/watch?v=QiMriorA2UY,Haikyu!! TO THE TOP 2nd-cour,54773,527692,9725,4455,107732,704377
19,Monster,tv,8.84,312652,finished_airing,manga,873348,39677,r+,2004,"['Drama', 'Mystery', 'Suspense']","['Adult Cast', 'Psychological']",['Seinen'],https://cdn.myanimelist.net/images/anime/10/18793l.jpg,,Monster,109514,318079,66518,30695,395924,920730
10087,Fate/Zero,tv,8.29,788121,finished_airing,light_novel,1367912,32207,r,2011,"['Action', 'Fantasy', 'Supernatural']",[],[],https://cdn.myanimelist.net/images/anime/1887/117644l.jpg,https://www.youtube.com/watch?v=21-1-ioCfXY,Fate/Zero,61252,996087,31460,22094,289201,1400094
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,tv,8.48,412212,finished_airing,light_novel,717910,11214,r,2021,"['Drama', 'Fantasy', 'Suspense']","['Isekai', 'Psychological', 'Time Travel']",[],https://cdn.myanimelist.net/images/anime/1724/117421l.jpg,https://www.youtube.com/watch?v=cG68UqKqYq0,Re:ZERO -Starting Life in Another World- Season 2 Part 2,81683,506232,16479,10183,141399,755976
38040,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,movie,8.47,411562,finished_airing,light_novel,651583,4363,pg_13,2019,"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody', 'Reincarnation']",[],https://cdn.myanimelist.net/images/anime/1638/119321l.jpg,https://www.youtube.com/watch?v=Q4FQUMcYqiQ,KonoSuba: God's Blessing on This Wonderful World! - Legend of Crimson,13717,544133,3496,2573,114107,678026
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,tv,9.14,280251,finished_airing,manga,594666,19952,pg_13,2022,"['Comedy', 'Suspense']","['Psychological', 'Romantic Subtext', 'School']",['Seinen'],https://cdn.myanimelist.net/images/anime/1160/122627l.jpg,https://www.youtube.com/watch?v=vFN5K-iAyV0,Kaguya-sama: Love is War - Ultra Romantic,92907,396245,8077,5624,197293,700146
30484,Steins;Gate 0,tv,8.52,369827,finished_airing,visual_novel,771198,10699,pg_13,2018,"['Drama', 'Sci-Fi', 'Suspense']",['Time Travel'],[],https://cdn.myanimelist.net/images/anime/1375/93521l.jpg,https://www.youtube.com/watch?v=NhExBlBnmQI,Steins;Gate 0,64257,437422,25049,16519,252064,795311
38883,Haikyuu!! To the Top,tv,8.36,484772,finished_airing,manga,788356,4787,pg_13,2020,['Sports'],"['School', 'Team Sports']",['Shounen'],https://cdn.myanimelist.net/images/anime/1813/105367l.jpg,https://www.youtube.com/watch?v=gJv9fFJmnCA,Haikyu!! To the Top,52103,655416,11506,4660,100708,824393
