manga_id,reading,completed,on_hold,dropped,plan_to_read,total
443,2731,16371,1259,1074,10384,31819
104565,121695,26749,9694,8428,31191,197757
57791,2996,916,624,267,4434,9237
106809,10628,669,1236,651,7884,21068
122906,4158,967,435,138,3563,9261
320,9148,16559,3725,2500,8387,40319
25096,12983,7559,3032,1161,12886,37621
1013,868,5478,386,198,4856,11786
1600,2790,4693,1594,621,10296,19994
98436,11469,812,1439,798,8764,23282
7458,1437,20198,600,232,10662,33129
79,2431,9138,1053,974,8291,21887
30079,3741,32303,997,756,25199,62996
14236,14044,23238,2782,1777,14968,56809
87397,4732,211,703,280,7844,13770
3571,531,1649,187,82,2566,5015
2459,1489,2411,357,269,3098,7624
9,12289,33474,6529,3988,19377,75657
115922,5911,295,490,317,5131,12144
1649,21081,25352,7125,3816,43975,101349
16922,11598,1030,2081,799,7172,22680
838,5502,25004,2043,1541,17598,51688
9699,1541,23569,297,222,9161,34790
83903,2651,484,463,153,4526,8277
93972,17159,7942,3371,921,32949,62342
104241,33441,992,2314,1133,8708,46588
6520,4624,23091,1488,1443,12311,42957
267,11987,40972,5347,2913,24649,85868
90531,1127,4439,342,149,4018,10075
15306,921,2351,321,156,8439,12188
5255,34270,36112,10238,6797,26417,113834
37755,7365,7818,1622,916,11620,29341
481,3953,16170,1413,630,24484,46650
112774,7312,591,1078,345,5947,15273
583,37622,63958,10067,4698,60541,176886
84983,1474,2287,209,125,3097,7192
1263,657,5865,289,94,4295,11200
149,15410,38968,4427,2560,69144,130509
16593,143,1541,47,38,1920,3689
1061,30561,1166,9640,5687,7659,54713
128,3254,9667,1572,858,13286,28637
103701,30385,33469,5646,2870,26742,99112
24308,9047,15933,2833,1428,15570,44811
24,74177,5426,19392,9408,38812,147215
57,3805,19066,1882,1421,8478,34652
735,19016,2269,5107,1714,19255,47361
124845,9477,33069,2718,1600,14691,61555
43921,7683,2654,1392,734,8110,20573
96792,80957,237464,10447,5779,40083,374730
92252,5423,813,920,451,5683,13290
87844,7422,4100,951,385,13599,26457
118289,5473,128,495,154,5873,12123
14790,45382,42317,11130,5627,33763,138219
1097,805,3368,349,190,5462,10174
1047,2534,6860,991,450,3628,14463
43915,1648,7763,322,175,2871,12779
26704,877,1054,270,121,5052,7374
112318,26621,31040,4596,1603,41989,105849
85719,2482,1623,491,138,7718,12452
731,5878,11691,2233,1191,31083,52076
39883,34648,65592,9570,6157,28573,144540
3378,37138,24199,10078,5601,30828,107844
16144,799,7267,212,98,3658,12034
123444,5643,204,525,112,3433,9917
103063,1764,1494,277,137,1057,4729
